id,triggerDesc,actionDesc,deviceCategory,original_content_after_dot
VUb6ZR8D,WHEN every time the Nest Protect you specify detects dangerous carbon monoxide levels,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
VVBNW7at,WHEN every time your WeMo Switch is turned off,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
VVNXzeDa,WHEN every time a motion event is detected,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
VXmDAaQR,WHEN every time a specific person arrives home,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
VbEjXwy4,WHEN you tap a gesture with a custom IFTTT task matching the ID of this trigger,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
VbJkvSHf,WHEN every time your IFTTT Tag on MESH app receives an input signal from the other Tag,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
VcXZK6U2,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
VeL4WBk6,WHEN every time your Fitbit logs new sleep,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
VedqYPLG,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN open the garage door you specify",Generic/Other,"If the garage door is already opened, the door will remain opened. This Action will only work with 'garage mode'. Remote access must be enabled."
VinGJqMp,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
VkDjHar9,WHEN every time you are @mentioned in a tweet,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
VktYrD5L,WHEN every time a motion is detected at the given doorbell,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
VkuJHPYQ,WHEN the alarm for a specific mode is triggered,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
VmWvzf2q,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN changes the brightness level of the selected group of wemo lights",Light,If the group is off it will turn on with selected brightness level.
VmuNHEpf,WHEN every time a specified camera detects motion,", THEN turns on the selected wemo light",Light,If it is already on it stays on.
VnYKhzxN,WHEN every time the home you specify is set to Home,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
VrYguqbj,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
Vx8cqWAR,WHEN every time the Nest Protect you specify detects dangerous carbon monoxide levels,", THEN turns on the selected wemo light",Light,If it is already on it stays on.
W3QxM4GU,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
W3tf6QnJ,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN close the garage door you specify",Generic/Other,"If the garage door is already closed, the door will remain closed. This Action will only work with 'garage mode'. Remote access must be enabled."
W6mZFPh2,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN changes the brightness level of the selected wemo light",Light,If the light is off it will turn on with selected brightness level.
W7Gymbjn,WHEN every time your ecobee thermostat senses that the indoor temperature is less than a specific value you supply,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
W9sCuR2Y,WHEN a specified tag senses that its ambient temperature falls below an lower threshold configured at temperature options screen inside the WirelessTag app,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
WBAicDp2,"WHEN a set number of minutes before the starting time of an event on your Calendar that contains a specific keyword or phrase in the event’s Title, Description, or Location",", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
WBusGnxM,WHEN every single day at a specific time set by you,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
WJHBber9,WHEN your Arlo device detects motion,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
WJNP8kru,WHEN time-of-day peak rates start or end,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
WTUE5PNY,WHEN within 15 minutes of detection of the indoor temperature rising above the specified temperature threshold,", THEN turn off your daikin ac unit",Air/Climate,It will be executed within 1 minute.
WfaFJmM6,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turns on the selected wemo light",Light,If it is already on it stays on.
Wfg7eGpM,WHEN every single day at a specific time set by you,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
WqXijxz5,WHEN every time you press the button,", THEN dim / brighten the selected light(s) by the step of your choice",Light,"Ideal for your smart remotes, connected buttons, widgets and much more!"
WqzUheS3,WHEN every time you enter an area you specify,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
Wu5PaqVR,WHEN within 15 minutes of detection of the indoor temperature dropping below the specified temperature threshold,", THEN turn on your daikin ac unit, or change its settings",Air/Climate,It will be executed within 1 minute.
WvPmthMy,WHEN every time the home you specify is set to Home,", THEN turn on the pivot power genius outlet you specify",Generic/Other,"If the outlet is already on, it will remain on."
Wx5ZsTji,WHEN only on specific days of the week at the time you provide,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
X3repwiJ,WHEN every time your WeMo Switch is turned off,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
X7ZYNBcq,WHEN every time you press the button,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
X8N43Xw2,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
X8RtndDT,WHEN every time you enter an area you specify,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
XLm6HkXE,WHEN every time the home you specify is set to Away,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
XMsgdLBS,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
XRnsVXYL,WHEN every time your WeMo Light Switch is turned on or off with a long press over two seconds,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
XTPRQb2N,WHEN every time a motion event is detected,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
XULgsXKT,WHEN within 15 minutes of the sunrise in your location,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
XW5ecnKh,WHEN every single day at a specific time set by you,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
XXY4kF9i,WHEN every time your WeMo Light Switch is turned off,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
XbNLwyDs,WHEN within 15 minutes of the sunrise in your location,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
Xbz9vn7Y,WHEN within 15 minutes of the sunrise in your location,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
XdeMxHPb,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
XdvrFsS2,WHEN every time your WeMo Light Switch is turned off,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
